timestamp_utc,frequency_hz,power_db_smoothed
2026-07-14T23:00:46.128620+00:00,1420463221,-69.65
2026-07-14T23:00:46.128620+00:00,1420464686,-69.68
2026-07-14T23:00:46.128620+00:00,1420466151,-69.66
2026-07-14T23:00:46.128620+00:00,1420467616,-69.582
2026-07-14T23:00:46.128620+00:00,1420469081,-69.592
2026-07-14T23:00:46.128620+00:00,1420470546,-69.645
2026-07-14T23:00:46.128620+00:00,1420472010,-69.647
2026-07-14T23:00:46.128620+00:00,1420473475,-69.641
2026-07-14T23:00:46.128620+00:00,1420474940,-69.624
2026-07-14T23:00:46.128620+00:00,1420476405,-69.674
2026-07-14T23:00:46.128620+00:00,1420477870,-69.663
2026-07-14T23:00:46.128620+00:00,1420479335,-69.652
2026-07-14T23:00:46.128620+00:00,1420480800,-69.647
2026-07-14T23:00:46.128620+00:00,1420482264,-69.604
2026-07-14T23:00:46.128620+00:00,1420483729,-69.668
2026-07-14T23:00:46.128620+00:00,1420485194,-69.702
2026-07-14T23:00:46.128620+00:00,1420486659,-69.715
2026-07-14T23:00:46.128620+00:00,1420488124,-69.71
2026-07-14T23:00:46.128620+00:00,1420489589,-69.642
2026-07-14T23:00:46.128620+00:00,1420491053,-69.639
2026-07-14T23:00:46.128620+00:00,1420492518,-69.646
2026-07-14T23:00:46.128620+00:00,1420493983,-69.609
2026-07-14T23:00:46.128620+00:00,1420495448,-69.688
2026-07-14T23:00:46.128620+00:00,1420496913,-69.686
2026-07-14T23:00:46.128620+00:00,1420498378,-69.706
2026-07-14T23:00:46.128620+00:00,1420499842,-69.691
2026-07-14T23:00:46.128620+00:00,1420501307,-69.632
2026-07-14T23:00:46.128620+00:00,1420502772,-69.68
2026-07-14T23:00:46.128620+00:00,1420504237,-69.675
2026-07-14T23:00:46.128620+00:00,1420505702,-69.693
2026-07-14T23:00:46.128620+00:00,1420507167,-69.644
2026-07-14T23:00:46.128620+00:00,1420508632,-69.666
2026-07-14T23:00:46.128620+00:00,1420510096,-69.671
2026-07-14T23:00:46.128620+00:00,1420511561,-69.626
2026-07-14T23:00:46.128620+00:00,1420513026,-69.632
2026-07-14T23:00:46.128620+00:00,1420514491,-69.653
2026-07-14T23:00:46.128620+00:00,1420515956,-69.605
2026-07-14T23:00:46.128620+00:00,1420517421,-69.746
